marca,genero,categoria,nombre,precio,url,imagen
NUDE-PROJECT,Sin clasificar,Sudaderas,Playboy Print Hoodie Marshmallow,99.0,https://nude-project.com/es/collections/sudaderas/products/printed-aop-bunny-hoodie-color-1,https://nude-project.com/cdn/shop/files/3front_00a332be-a9fa-4943-a3a0-6ec120cab864_600x.jpg?v=1764937285
NUDE-PROJECT,Sin clasificar,Sudaderas,Playboy Print Hoodie Ash,99.0,https://nude-project.com/es/collections/sudaderas/products/printed-aop-bunny-hoodie-color-2,https://nude-project.com/cdn/shop/files/1front_9568babb-8347-4e2a-b914-116b8f0d83bc_600x.jpg?v=1764937302
NUDE-PROJECT,Sin clasificar,Sudaderas,Garden Hoodie Marshmallow,89.0,https://nude-project.com/es/collections/sudaderas/products/garden-hoodie-marshmallow,https://nude-project.com/cdn/shop/files/GardenHoodieMarshmallow_2_back_600x.jpg?v=1762257957
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Con Cremallera Global Soon Gris Oscuro,99.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-con-cremallera-global-soon-gris-oscuro,https://nude-project.com/cdn/shop/files/GLOBAL_SOON_ZIP-UP_HOODIE_ASH_back_600x.jpg?v=1756141516
NUDE-PROJECT,Sin clasificar,Sudaderas,Cult Hoodie Marshmallow,89.0,https://nude-project.com/es/collections/sudaderas/products/cult-hood-fw25-marshmallow,https://nude-project.com/cdn/shop/files/CultHoodieMarsh_BACK_993a55d0-7af5-431d-b84c-e144b949c14f_back_600x.jpg?v=1762258559
NUDE-PROJECT,Sin clasificar,Sudaderas,Cult Hoodie Green,89.0,https://nude-project.com/es/collections/sudaderas/products/cult-hood-fw25-green,https://nude-project.com/cdn/shop/files/CultHoodieGreen_new_back_600x.jpg?v=1762258550
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Ladder Figue,89.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-ladder-figue,https://nude-project.com/cdn/shop/files/LadderHoodieFigue_back_600x.jpg?v=1757324192
NUDE-PROJECT,Sin clasificar,Sudaderas,Kory Boxy Hoodie Black,89.0,https://nude-project.com/es/collections/sudaderas/products/kory-hood-fw25-black,https://nude-project.com/cdn/shop/files/KORY_BLACK_new_back_600x.jpg?v=1762258869
NUDE-PROJECT,Sin clasificar,Sudaderas,Seoul Hoodie Brown,89.0,https://nude-project.com/es/collections/sudaderas/products/seoul-hood-fw25-new-color-1,https://nude-project.com/cdn/shop/files/SEOUL2.0_HOODIE_CHOCOLATE_BACK_9a6fbb0c-7449-43d5-b1fa-e4068ab30ab6_back_600x.jpg?v=1762258937
NUDE-PROJECT,Sin clasificar,Sudaderas,Gravity Zip-Up Hoodie Burgundy,99.0,https://nude-project.com/es/collections/sudaderas/products/cosmo-zipper-beaujolais,https://nude-project.com/cdn/shop/files/COSMOZIPPERBEAUJOLAIS_1_front_600x.jpg?v=1762257637
NUDE-PROJECT,Sin clasificar,Sudaderas,Ski Club Quarter-Zip Red,99.0,https://nude-project.com/es/collections/sudaderas/products/pinpin-zip-up-salsa,https://nude-project.com/cdn/shop/files/1front_756f0817-c21d-4c33-899b-20c3ab994150_600x.jpg?v=1764936534
